Term,es,nes,pval,fdr,geneset_size,matched_size,genes
rRNA Binding (GO:0019843),-0.629293027643449,-2.3635992274431046,0.0,0.0,43,43,"PTCD3,MAP3K20,UTP25,FASTKD5,NGRN,CAVIN1,ERI1,EMG1,RCC1L,FASTKD2,MRPS18A,ERAL1,SBDS,UTP23,CIRBP,RPLP0,RPL5,MRPS27,RPS5,RPS3,NOP53,MRPS7,MRPL18,RPL23,MRPL16,DDX28,MRPS6,DDX56,MTERF4,MDM2,RPL11,MRPS18C,NOL12,NPM1,RPS9,TSTD1,PPAN-P2RY11,GTF3A,RPF2,RPL12,RRS1,RPS13,MRPL11"
GTPase Activator Activity (GO:0005096),0.48267557559260327,2.2279317001186376,0.0,0.0,214,201,"RGS16,ARRB1,RAP1GAP2,RGPD3,RGS5,ARHGAP6,TBC1D2B,RGS1,RALGAPB,NRP1,ARHGAP11B,RALGAPA1,ARAP2,IQGAP3,RAPGEF2,ARHGAP45,RABGAP1,MPZ,ARHGAP21,MYO9A,AGAP1,ARHGAP5,ARHGAP44,LLGL2,TBC1D30,RALGAPA2,ARHGAP17,SEC23B,STXBP5,TBC1D16,ARHGAP31,GNAQ,ARHGAP28,ACAP2,ELMOD2,ARHGAP8,GIT2,NF1,ASAP2,ARHGAP9,TBC1D26,RGS12,EVI5,MYO9B,ERRFI1,ADAP1,TBC1D4,TBCD,ARAP3,ARHGAP11A,STARD13,RAB3GAP1,ARHGAP33,SMAP2,AGAP9,ECT2,IQGAP1,RACGAP1,TBC1D9B,AGAP4,ARHGAP29,ARHGAP23,ARHGAP35,RGS6,ARHGAP19,ARHGAP22,DOCK7,RGPD2,TBCK,CDC42EP2,RANBP2,ARHGAP27,USP6NL,SIPA1,STARD8,GIT1,ADAP2,OCRL,REPS1,ARHGAP32,TBC1D9,ARHGAP42,SOS1,TBC1D3I,TBC1D3B,ASAP1,RGS20,TBC1D20,RAP1GAP,PLCB1,ARHGAP10,TBC1D8B,TBC1D13,SGSM3,BCR,TBC1D14,NCKAP1L,SMCR8,RGS7,RANGAP1,SIPA1L1,DNM1L,SRGAP2,ALS2,ARHGAP1,ARHGAP4,TSC2,PREX1,FAM13B,ARHGAP12,TBC1D1,SEC23A,PLXNB1,HACD3,ARHGAP20,SGSM2,ARFGEF1,ARHGAP26,LARS1,GMIP,AGAP3,GNB5,ELMOD1,NUDT19,SMAP1,CHN1,RGS3,TBC1D10B,ARHGEF10L,MTSS2,EVI5L,ARHGEF6,AGAP5,RGPD5,OPHN1,ASAP3,GRTP1,RGPD8,VAV3,ADGRB3,RGS14,LLGL1,SYNGAP1,ALDH1A1,RGPD4,TBC1D7,AGAP6,SYDE2,SIPA1L3,RGS10,TBC1D8,THY1,TBC1D22B,PDGFRB,ARFGAP1,IQGAP2,TBC1D5,ARHGAP24,TBC1D3D,TBC1D22A,FAM13A,WDR41,TBC1D12,ARAP1,TBC1D3L,TBC1D10A,RASGRP3,LRRK2,FLCN,PGAM5,ARFGAP3,TBC1D2,TBC1D25,DEPTOR,SYDE1,JUN,ARFGAP2,BNIP2,TBC1D17,RANBP1,ELMOD3,RGPD1,SIPA1L2,ARHGAP39,RGS2,TBC1D15,PREX2,RGS9BP,SH3BP1,DOCK1,SGSM1,RASA4,ARHGAP18,NPRL2,RABGAP1L,DLC1,RGS11,ARHGAP25,AGAP2,SRGAP1,HTR2B"
L-amino Acid Transmembrane Transporter Activity (GO:0015179),0.5738430770042389,2.1498407530954156,0.0,0.0006295121679124101,59,50,"SLC15A4,SLC7A5,SLC1A5,SLC7A3,SLC1A3,SLC38A5,SLC7A2,SLC25A18,SLC25A13,SLC66A1,SLC47A1,SLC1A1,SLC6A20,SLC1A6,SLC7A8,SLC38A7,SLC38A8,SLC38A1,SLC38A2,SLC25A22,SLC7A1,SFXN1,SLC17A7,SLC17A8,UCP2,SLC38A6,SLC36A4,SERINC5,SLC3A1,SLC3A2,SLC25A15,SLC38A3,SLC43A1,SLC38A10,SLC43A2,SLC1A4,SLC7A6,SLC7A11,SLC1A2,SLC16A10,SERINC3,SLC1A7,SLC7A7,SLC36A1,SLC25A12,SLC38A9,SFXN3,SLC38A4,SLC25A26,SLC7A9"
GTPase Regulator Activity (GO:0030695),0.41396935244353295,2.0535776441978713,0.0,0.01468861725128957,424,402,"DOCK9,RGS16,FGD4,ARRB1,RAP1GAP2,ARHGEF12,RGPD3,RGS5,ARHGAP6,RIMS1,TBC1D2B,PLEKHG1,SBF1,RGS1,RALGAPB,RHOU,NRP1,IPO7,HERC2,DOCK4,ARHGAP11B,RALGAPA1,FGD6,SH3BP5,ARAP2,RAB3GAP2,ARHGEF7,IQGAP3,RAPGEF2,ARHGAP45,RABGAP1,TIAM1,MPZ,ARHGAP21,PLCE1,TRIO,MYO9A,FGD1,AGAP1,ARHGAP5,RAPGEF6,ARHGAP44,LLGL2,MCF2,TBC1D30,ITSN1,RALGAPA2,ARHGAP17,FARP2,PLEKHG3,RIC1,GPSM2,SEC23B,DENND1B,STXBP5,TBC1D16,ARHGAP31,FARP1,GNAQ,ARHGAP28,EGF,ACAP2,ELMOD2,RALGPS1,ARHGAP8,GIT2,NF1,PLCG1,DENND5A,ASAP2,ARHGAP9,TBC1D26,RASGRF2,DENND4C,DNMBP,RCC1,RGS12,EVI5,MYO9B,ERRFI1,ADAP1,TBC1D4,TBCD,PTGIR,ARAP3,GAPVD1,ARHGAP11A,STARD13,RAB3GAP1,ARHGAP33,RGL4,SERGEF,SMAP2,ADRA2C,AGAP9,ECT2,ARHGEF11,IQGAP1,ARHGEF3,RACGAP1,CYTH3,TBC1D9B,AGAP4,ARHGAP29,SLIT2,ARHGAP23,PLEKHG4,RIN3,ARHGAP35,RGS6,ARHGAP19,RGL2,ARHGAP22,DOCK7,RALGPS2,RGPD2,TBCK,CDC42EP2,ARFGEF2,RANBP2,ARHGAP27,EPS8L1,ARHGEF18,USP6NL,ADRA2A,SIPA1,ARHGEF17,STARD8,GIT1,RAPGEF5,ARHGEF16,ADAP2,SH3BP4,OCRL,AKAP13,REPS1,MADD,ARHGAP32,TBC1D9,DENND4B,ARHGAP42,SOS1,TBC1D3I,TBC1D3B,ASAP1,DOCK5,RGS20,RINL,ARHGEF15,RASGEF1C,TBC1D20,FGD2,RAP1GAP,PLCB1,ARHGAP10,VAV2,TBC1D8B,TBC1D13,SGSM3,MCF2L2,BCR,DIS3,TBC1D14,NCKAP1L,SMCR8,RGS7,DENND10,RANGAP1,DENND3,FGD5,RAP1GDS1,RAB3IL1,SIPA1L1,DNM1L,SRGAP2,ALS2,ARHGAP1,PLEKHG2,RTKN,RABIF,ARHGAP4,TSC2,RASGEF1B,PREX1,IPO5,FAM13B,ALS2CL,ARHGAP12,TBC1D1,MYCBP2,TIAM2,SWAP70,SEC23A,SBF2,PLXNB1,ANKRD27,RALGDS,HACD3,ARHGAP20,TNK2,RAPGEFL1,RIC8A,ARHGEF4,SGSM2,GDI1,ARFGEF1,ARHGEF40,ARHGAP26,LARS1,GMIP,AGAP3,GNB5,ELMOD1,MON1A,NUCB1,NUDT19,DOCK3,SMAP1,DENND5B,CHN1,RGS3,DENND1A,ARHGEF5,SH3BP5L,CDC42SE1,TBC1D10B,CYTH1,DENND4A,RASGRP2,SOS2,DENND6A,HPS4,ARHGEF10L,RHOF,ARF4,MTSS2,EVI5L,ARHGEF6,AGAP5,RASGEF1A,RGPD5,OPHN1,DOCK8,CCDC88A,ASAP3,ARHGEF37,RAPGEF1,GRTP1,RGPD8,PLEKHG4B,VAV3,EIF5,EEF1D,ADGRB3,DENND2B,THG1L,RGS14,DOCK6,ITGB1BP1,RAP1A,LLGL1,SPATA13,SYNGAP1,DENND2A,ALDH1A1,OBSCN,RGPD4,TBC1D7,KIAA1755,AGAP6,SYDE2,TBXA2R,SIPA1L3,DOCK10,RCBTB2,RAPGEF3,CCDC88C,VPS9D1,EPS8L2,RGS10,IQSEC2,EIF2B1,TBC1D8,THY1,TBC1D22B,PDGFRB,ARFGAP1,IQGAP2,GPSM1,RCC1L,HPS1,TBC1D5,RGL3,DENND2D,ARHGAP24,NGEF,TBC1D3D,TBC1D22A,RIC8B,FAM13A,DEF6,PLEKHG5,WASL,RIN1,WDR41,SIRPA,TBC1D12,RUNDC3A,EIF2B5,ARAP1,DENND1C,ELMO1,TBC1D3L,TBC1D10A,ARHGEF10,KRIT1,ARHGEF1,RASGRP3,PRPF38B,LRRK2,ARHGEF2,FLCN,EEF1B2,PGAM5,PTGES2,GNA13,ARFGAP3,TBC1D2,RAB3IP,TBC1D25,DEPTOR,SLC38A9,SYDE1,JUN,CYTH2,ARFGAP2,WAS,ARHGEF19,BNIP2,TBC1D17,ARHGEF28,RANBP1,ELMOD3,RGPD1,KNDC1,SIPA1L2,GPS1,ARHGAP39,ARHGEF9,ARHGEF25,RASGRP1,RGS2,KALRN,DENND6B,PLCD4,TBC1D15,PREX2,FGD3,SEC61B,RGS9BP,SH3BP1,PCP2,PDE6D,NUCB2,RABGEF1,LAMTOR3,ARL2BP,DOCK1,SGSM1,RHOD,EIF2B4,PREB,DENND2C,RASA4,ARHGAP18,EPS8L3,EIF2B3,PLEKHG6,NPRL2,EIF2B2,FBXL15,RANGRF,RABGAP1L,DLC1,RGS11,MCF2L,RAPGEF4,LAMTOR5,ARHGAP25,RIN2,CPEB2,GPS2,LAMTOR2,DOCK2,LAMTOR4,CCZ1B,RASGRF1,AGAP2,SRGAP1,HTR2B,DOCK11,LAMTOR1"
Protein Tyrosine Kinase Activity (GO:0004713),0.4802102064183446,1.9732981107179162,0.0,0.029712974325465758,102,91,"PEAK1,FRK,MTOR,ABL2,FGFR2,PDGFRA,EPHA4,WEE2,DDR2,PTK2,NTRK1,JAK2,NTRK3,IGF1R,PKDCC,RET,ERBB3,ABL1,TYRO3,FGFR3,FYN,INSR,TEK,HIPK2,FLT1,LTK,RPS6KA5,TEC,BMX,EPHB4,PKN2,CAMKK2,KDR,INSRR,FER,FGFR1,EIF2AK3,BAZ1B,AXL,EPHA1,KIT,BCR,HIPK1,JAK1,DYRK1A,PKM,TXK,TYK2,BTK,TIE1,RORA,MELK,FES,CSK,TNK2,ROS1,SRC,EPHA2,FLT4,EPHB2,TELO2,PTK2B,CHKA,WEE1,DYRK2,CLK3,MERTK,PDGFRB,DDR1,MST1R,JAK3,CLK4,HIPK3,LYN,EPHA7,SYK,YES1,RYK,TTBK1,SLTM,COLEC11,EGFR,ERBB2,ERBB4,MATK,TWF1,CSF1R,ZAP70,HIPK4,TNK1,TTR"
Metalloendopeptidase Activity (GO:0004222),0.4762176979366583,1.914830530216319,0.0,0.03415103510924825,99,81,"ECEL1,ADAMTS18,MMP28,MMP25,ADAM33,MMP24,ADAMTS12,PAPPA,TRABD2B,ADAMTS17,ADAMTS20,MMP19,ECE1,ADAM18,ADAMTS4,IDE,KEL,ADAM19,ADAM15,ADAM12,MBTPS2,ADAMTS15,BMP1,NRDC,ADAMTS9,KLK6,ADAMTS16,ADAMTS2,MMP2,MMP9,PITRM1,ADAM9,ADAM21,ADAM32,MMP10,ADAM20,MMP23B,ADAM22,NLN,MMP16,MMP1,ADAMTS7,ADAMTS8,THOP1,ADAMTS19,SPRTN,ADAM8,PAPPA2,ADAMTS13,MMP14,ADAM10,PHEX,TLL2,SPG7,MIPEP,MMP15,ZMPSTE24,ADAMTS10,MMP12,AFG3L2,PMPCB,ADAM11,CLCA2,ADAM17,TLL1,ADAM23,ADAMTS3,PRSS2,OMA1,ADAMTS5,ADAMTS1,ADAM28,CLCA1,ADAMTS14,RCE1,TMPRSS6,ADAMTSL2,MMP21,ADAMTS6,MMP11,MEP1A"
Protein Serine/Threonine Kinase Activity (GO:0004674),0.3848268972900617,1.904814294171431,0.0,0.035112789810225545,359,346,"BMP2K,PRKCH,SIK2,DAPK2,GRK3,CDC42BPB,MTOR,CASK,DCLK2,MAPK4,ROCK2,TTBK2,MAST4,GSK3B,PRKDC,MAP3K9,TAF1,SMG1,PRKCA,ARHGEF7,PRKD3,TAOK1,TAOK2,TRIO,CDK19,BRD4,AURKA,NEK10,LMTK2,SIK3,ULK1,CDKL1,STK26,ROCK1,ACVR1,SBK1,PKN3,CLASP1,SBK3,SLK,CDC42BPA,PIKFYVE,PIK3R4,RPS6KA3,HASPIN,CSNK1G1,CDK13,MASTL,RIPK2,CAMK2G,NUAK2,CDK12,BRSK2,BUB1,MAST3,AURKB,MAP4K4,MAPK1,CAMK2B,MYO3A,TNIK,IRAK3,CSNK2A3,HIPK2,PRKD2,HUNK,NEK2,PSKH2,SRPK1,STK32A,ALPK3,BRAF,PDPK1,PDK3,LATS1,STK17B,TSSK3,CDKL5,RPS6KA5,RPS6KA2,TTK,PRKACB,CDK1,AKT1,PLK1,NEK3,GAK,PRKCE,MYLK4,PKN2,PBK,MAPK9,CAMKK2,NEK7,PAK4,PNCK,MAP3K14,EIF2AK3,MYLK,SNRK,WNK2,CHEK2,CPNE3,DCAF1,STK38L,GRK2,OXSR1,ACVR1C,MAP3K20,CDK16,PKMYT1,MAP3K3,CSNK1G2,CSNK1D,CAMK2D,CAMK1G,DHDDS,EIF2AK4,RIOK3,ACVRL1,CAMKK1,BCR,PLK4,HIPK1,CAMK1D,BRD2,PGK1,LIMK2,NEK6,MAPK6,MAP4K3,MYO3B,MAP3K11,PRKAB2,LIMK1,MINK1,DYRK1A,MARK1,CDK6,RPS6KA1,ACVR1B,RPS6KC1,MAST2,VRK2,TRPM7,PKM,STK38,DAPK3,RIPK1,MAP3K6,IRAK1,NEK9,CSNK1A1,WNK4,WNK1,MELK,MAP2K1,BRSK1,CDK2,MKNK2,STK17A,EIF2AK2,CHEK1,MAP3K4,CAMK4,CDC42BPG,RPS6KA6,CCNK,RIPK3,MAPK14,MAP3K7,STK32B,KSR2,PRKAA2,PRKAA1,PRKCD,MAP3K1,UHMK1,TOP1,RPS6KB2,ERN2,DYRK1B,HTATIP2,NRBP1,MAP3K13,ACVR2B,WNK3,CDK8,MARK3,TLK2,PRKCI,LATS2,MAP3K5,NRBP2,FAM20C,MYLK2,RIOK1,PIM3,TELO2,PTK2B,CHUK,VRK1,MAP3K2,PHKG2,LONP1,TGFBR1,ILK,IKBKE,RPS6KA4,TSSK6,RPS6KB1,DAPK1,ULK2,TLK1,MYLK3,CDK18,ATM,BCKDK,STK4,TESK2,CDKL3,DCLK1,MARK2,SRPK3,DMPK,MAP3K8,AKT3,STK39,DYRK2,CLK3,NLK,NEK4,EIF2AK1,STK24,MAPKAPK2,AKT2,MAPK11,MARK4,CDK7,TRPM6,ALPK1,MAP3K12,TBK1,IKBKB,MAP3K10,BMPR1A,SGK3,TGFBR2,PLK3,MAPK15,GRK6,GRK5,PSKH1,MAPK8,TP53RK,CDC7,BRD3,CLK4,STK36,CDK3,HIPK3,PRP4K,MAPK12,MAP4K2,CDK5,ULK3,PRKCB,PIM2,PDK4,CDK9,MAPKAPK5,CSNK2A2,STK16,MOCOS,LRRK2,CDK20,GSK3A,DYRK3,SYK,MAP2K6,MAP3K15,MAP4K5,CAMK2A,PRKCQ,PRKCG,TTBK1,PLK2,PRKCZ,CSNK1G3,MAPK3,STKLD1,CDK11A,PKN1,PPM1D,CDK10,NIM1K,TESK1,MLKL,SRPK2,MAPK13,STK33,COLEC11,DCLK3,PINK1,FAM20A,ARAF,ERN1,ACVR2A,CSNK1E,KALRN,BMPR1B,STK11,EGFR,IRAK4,CDKL4,TAOK3,MAPK7,MKNK1,CSNK2B,CILK1,CDKL2,STK25,NEK11,CDK11B,VRK3,NUAK1,CDK14,MAP2K2,PDK2,MOK,FASTK,PRKD1,STK32C,HIPK4,CDK4,STK10,TSSK2,ATP23,MAPKAPK3,MAP4K1,LRRK1,DYRK4,TTR,CDK17,SGK1,CAMK1"
Voltage-Gated Monoatomic Ion Channel Activity (GO:0005244),0.6496809221233819,1.9761155096815084,0.0,0.03619694965496358,28,22,"KCND2,KCNQ2,GRIN2D,CACNA1E,GRIN2A,HCN1,KCNQ3,GPRIN1,PRKD2,CACNA1H,KCNJ8,GRIN2C,SCN1A,GRIN2B,VDAC1,VDAC2,GPR89A,GRIN3A,TMEM109,KCNJ11,VDAC3,HVCN1"
G Protein-Coupled Receptor Binding (GO:0001664),0.45297014667218083,1.9204896132428444,0.0,0.03705128759713043,143,109,"GPRASP2,RSPO3,REEP1,WNT2,PDYN,ARRB1,GRK3,WNT3,ARHGEF12,USP33,WNT6,TUB,GNAI3,CXCL12,GNAQ,RSPO1,WNT9B,PENK,WNT2B,APP,WNT11,PTCH1,PDCD6IP,FYN,NPPA,GPRC5B,PTCH2,GNAT2,HOMER1,ARHGEF11,GNAZ,SAA2,PROK2,NTS,LRP6,NPW,GRK2,SFRP1,WNT7A,CCL5,FZD7,UTS2B,CCRL2,XCL1,GNA11,WNT5B,CALCB,DNAJC14,USP20,ITGB4,FLNA,TAFA5,HOMER2,TULP3,DVL3,USP4,ADM,WNT7B,WNT9A,S1PR2,HOMER3,GNAO1,HSPA1B,ZNRF3,GNAI1,DVL2,NPB,DNAJA1,HSPA8,AGTR1,CCDC88C,DVL1,GNAL,ARRB2,PRKN,HSPA1A,PICK1,BBS1,ARHGEF1,S100A14,RYK,PACRG,BAMBI,POMC,REEP2,PHB1,SDCBP,C1QTNF1,GHRL,BICD1,PSMC5,WNT5A,S1PR1,STUB1,GNAI2,CORT,C1QBP,RNF7,FZD1,WNT4,NPFF,MYOC,CCL21,GNA14,WNT10B,RNF43,PTRH2,SCT,ADA2"
Cadherin Binding (GO:0045296),0.39537417564600885,1.9220096545566492,0.0,0.043016664807348025,317,308,"DOCK9,SPTBN2,CTNNA2,AFDN,PTPRH,GIGYF2,GCN1,SPTAN1,DIAPH3,CTNND1,USP8,FMNL2,KLC3,CDH24,SPTBN1,PDXDC1,LARP1,CKAP5,DDX6,BAIAP2L1,ANLN,DLG1,CDH8,ACVR1,CDH12,ARVCF,MRTFB,MYO1B,VASN,FASN,PTPN1,BAIAP2,HDLBP,CGN,CEMIP2,SLK,PTPRT,FLNB,PKP4,TNKS1BP1,RDX,CDH15,NOTCH3,LRRC59,ERC1,CDH4,UBAP2,PI4KA,CDH23,DBN1,GAPVD1,SH3GLB1,RTN4,GOLGA3,KRT18,AHNAK,CIP2A,FSCN1,S100A11,ANK3,IQGAP1,CDH22,SEPTIN7,EZR,PTPRM,CBL,PPFIBP1,MICALL1,EFHD2,BMPR2,PACSIN2,PHLDB2,TLN1,PTPN11,EHD1,LAD1,CALD1,MPRIP,PKN2,VCL,MYH9,EPS8L1,TJP2,PAK4,KDR,PPL,EPS15L1,MACF1,USO1,CD46,ATXN2L,ARHGEF16,RAB43,CDH2,PLIN3,DCHS1,ITGB1,H1-10,LASP1,LDHA,DAB2IP,HCFC1,EPS15,NHERF2,TJP1,PPP1R13L,ASAP1,NCAPG,PROM1,ZC3HAV1,BSG,CDHR3,MAPRE1,PARVA,SNX9,DDX3X,WASF2,TAGLN2,CSNK1D,PLCB3,ITGA6,TMPO,ESYT2,MB21D2,SHTN1,CCNB2,PPME1,PLEC,PRDX1,PDLIM5,RANGAP1,COBLL1,YWHAB,DBNL,ENO1,PKM,ARHGAP1,CTNNA3,RAN,STK38,BAG3,NUMB,ADD1,CDH5,EIF4H,SWAP70,EEF2,GOLGA2,SEPTIN2,RAB10,CLIC1,PICALM,CAPZA1,TMOD3,CTNNA1,LIMA1,CDC42EP1,CLINT1,CNN3,STAT1,FLNA,LRRFIP1,UBFD1,PTPRB,TWF2,EPN2,KIF5B,P2RX4,CDH11,FZR1,PTPRJ,DNAJB1,HNRNPK,BZW1,PFKP,CDH13,SRC,RARS1,SNX1,EPHA2,CDH17,PAICS,MRE11,S100P,UNC45A,YWHAZ,SLC3A2,HSP90AB1,EHD4,IST1,VAPB,CDK5R1,TRIM25,CRKL,CTNND2,EIF5,ABI1,EIF4G2,EEF1D,SCYL1,ANXA1,RSL1D1,CCT8,KTN1,PKP3,BZW2,SERBP1,REXO2,GPRC5A,IDH1,CD2AP,SND1,MARK2,CTTN,CHMP4B,SCRIB,HSPA8,EVPL,STK24,EPS8L2,SH3GL1,TES,NIBAN2,RUVBL1,CTNNB1,PDLIM1,MPP7,FNBP1L,F11R,PPP1CA,DHX29,NOP56,HSPA1A,RAB1A,FXYD5,VAPA,PCMT1,YWHAE,SNX5,NDRG1,ARGLU1,SEPTIN9,CORO1B,PROC,EMD,ANXA2,EXOC3,TBC1D10A,CAPZB,PRDX5,ARFIP2,PFN1,TBC1D2,YKT6,CHMP5,RPS2,GIPC1,EEF1G,CDH6,VASP,RANBP1,CNN2,PUF60,ERC2,PCBP1,OLA1,CHMP2B,PARK7,RPL14,JUP,PKP2,EIF3E,CC2D1A,NCK1,EGFR,STXBP6,ATIC,NUDC,HSPA5,EIF2S3,SNX2,TWF1,PSMB6,RPL23A,PTPRU,RPL15,RPS26,TRPC4,LYPLA2,SH3GLB2,ARHGAP18,ZC3H15,RACK1,RPL29,AHSA1,RSL24D1,RPL6,RPL7A,EPCAM,CCS,GLOD4,STX5,TXNDC9,EIF2A,CDH26,RPL34,CDH10,CDH20"
