	Exposure	Unit - exposure	Outcome	Rucker	No. variants	Unit - outcome	Point (95%CI) - Supported	P-value - Supported	Effect type - Supported	Model	R-squared	Standard error - Supported	P-value (float) - Supported	Point (95%CI)	P-value	Point (95%CI) - RE	P-value - RE	Point estimate	Standard error	P-value (float)	Standard error - RE	P-value (float) - RE	Q-statistic	Q-test p-value (float)	Egger intercept	Egger standard error	Egger p-value 	Egger standard error - RE	Egger p-value - RE	Precision (float)	Precision (float) - RE	Precision	Precision - RE	Q-test p-value	Pruned	outcome_crude	Lower bound	Upper bound	Lower bound - RE	Upper bound - RE	Error	CI number - Conmix	used_wald_backup	No. cases - outcome	Sample size - outcome	No. cases - exposure	Sample size - exposure	model_stripped	filename
IVW_IVWPruned_heart_rate_0.01000_IVWPruned		std		No Rucker selection		bpm			Fixed effect	IVW	0.01																								IVWPruned	heart_rate					No data to run MR analysis on.			0	265046		14296	IVW	Acetylcarnitine.tar.gz
IVW_IVWPruned_systolic_bp_0.01000_IVWPruned		std		No Rucker selection	8	mmHg	0.33 (0.08; 0.58)	1.0×10⁻²	Random effects	IVW	0.01	0.12758869701877484	0.01018624639329091	0.33 (0.08; 0.58)	1.0×10⁻²	0.33 (0.08; 0.58)	1.0×10⁻²	0.32783174721530867	0.12758869701877484	0.01018624639329091	0.12758869701877484	0.01018624639329091	5.938521524514304	0.5469460010468867						61.42930409598711	61.42930409598711	6.1×10¹	6.1×10¹	5.5×10⁻¹	IVWPruned	systolic_bp	0.07776249622411702	0.5779009982065003	0.07776249622411702	0.5779009982065003	No Error		False	0	1028980		14296	IVW	Acetylcarnitine.tar.gz
IVW_IVWPruned_diastolic_bp_0.01000_IVWPruned		std		No Rucker selection	8	mmHg	0.03 (-0.16; 0.21)	7.9×10⁻¹	Random effects	IVW	0.01	0.0931849021928903	0.7871538923353365	0.03 (-0.13; 0.18)	7.5×10⁻¹	0.03 (-0.16; 0.21)	7.9×10⁻¹	0.02516069410467779	0.0787976391262383	0.7494931828646132	0.0931849021928903	0.7871538923353365	9.789550161773509	0.2008164624911879						161.05476876285485	115.16191885325026	1.6×10²	1.2×10²	2.0×10⁻¹	IVWPruned	diastolic_bp	-0.12927984064953352	0.17960122885888907	-0.1574783580962747	0.2077997463056303	No Error		False	0	1028980		14296	IVW	Acetylcarnitine.tar.gz
IVW_IVWPruned_lvef_0.01000_IVWPruned		std		No Rucker selection	9	%	0.33 (-0.06; 0.72)	9.4×10⁻²	Fixed effect	IVW	0.01	0.19823320404644149	0.09445668098423132	0.33 (-0.06; 0.72)	9.4×10⁻²	0.33 (-0.26; 0.93)	2.7×10⁻¹	0.3315139353228881	0.19823320404644149	0.09445668098423132	0.3028174700035856	0.27361965029838364	18.668053603609724	0.01673932751192253						25.447621637368638	10.905313291985832	2.5×10¹	1.1×10¹	1.7×10⁻²	IVWPruned	lvef	-0.057016005148116944	0.7200438757938932	-0.26199739977367786	0.925025270419454	No Error		False	0	36548		14296	IVW	Acetylcarnitine.tar.gz
IVW_IVWPruned_hfref_0.01000_IVWPruned		std		No Rucker selection	9	logor	0.04 (-0.19; 0.27)	7.1×10⁻¹	Random effects	IVW	0.01	0.11758443875259417	0.7148470667432361	0.04 (-0.17; 0.26)	7.0×10⁻¹	0.04 (-0.19; 0.27)	7.1×10⁻¹	0.042959961933465886	0.11114176973014644	0.6991019658575857	0.11758443875259417	0.7148470667432361	8.954370756121119	0.34615981436023113						80.95531822769621	72.32697455361091	8.1×10¹	7.2×10¹	3.5×10⁻¹	IVWPruned	hfref	-0.17487390391566512	0.2607938277825969	-0.18750130316397454	0.2734212270309063	No Error		False	5406	1946349		14296	IVW	Acetylcarnitine.tar.gz
IVW_IVWPruned_hfpef_0.01000_IVWPruned		std		No Rucker selection	8	logor	0.14 (-0.12; 0.39)	3.0×10⁻¹	Random effects	IVW	0.01	0.1306680444696269	0.30129029098110527	0.14 (-0.11; 0.39)	2.9×10⁻¹	0.14 (-0.12; 0.39)	3.0×10⁻¹	0.13506768544676456	0.12754916888792697	0.2896243615821632	0.1306680444696269	0.30129029098110527	7.346518171473923	0.3937135361548385						61.46738449815441	58.56811096687944	6.1×10¹	5.9×10¹	3.9×10⁻¹	IVWPruned	hfpef	-0.11492409183158908	0.3850594627251182	-0.12103697564398236	0.3911723465375115	No Error		False	3841	1946349		14296	IVW	Acetylcarnitine.tar.gz
IVW_IVWPruned_hf_0.01000_IVWPruned		std		No Rucker selection	9	logor	0.01 (-0.03; 0.06)	5.3×10⁻¹	Fixed effect	IVW	0.01	0.02292204301955974	0.5329157501433002	0.01 (-0.03; 0.06)	5.3×10⁻¹	0.01 (-0.05; 0.08)	6.6×10⁻¹	0.014293298338715643	0.02292204301955974	0.5329157501433002	0.032863332194598756	0.6636121499151435	16.443964636795386	0.03644889916905203						1903.2391097711406	925.9271236876339	1.9×10³	9.3×10²	3.6×10⁻²	IVWPruned	hf	-0.030633080431699197	0.05921967710913048	-0.050117649174673574	0.07870424585210486	No Error		False	153174	1946349		14296	IVW	Acetylcarnitine.tar.gz
IVW_IVWPruned_dcm_0.01000_IVWPruned		std		No Rucker selection	9	logor	-0.01 (-0.15; 0.13)	9.0×10⁻¹	Random effects	IVW	0.01	0.0718250116246514	0.8968993671242729	-0.01 (-0.15; 0.13)	8.9×10⁻¹	-0.01 (-0.15; 0.13)	9.0×10⁻¹	-0.009307026942935403	0.06993101841585943	0.8941232474329492	0.0718250116246514	0.8968993671242729	8.439207998480287	0.39178357393746777						204.48445297528448	193.8423160202783	2.0×10²	1.9×10²	3.9×10⁻¹	IVWPruned	dcm	-0.14636930444022714	0.12775525055435635	-0.15008146291642285	0.13146740903055207	No Error		False	14256	1213411		14296	IVW	Acetylcarnitine.tar.gz
IVW_IVWPruned_heart_rate_0.01000_IVWPruned		std		No Rucker selection		bpm			Fixed effect	IVW	0.01																								IVWPruned	heart_rate					No data to run MR analysis on.			0	265046		14296	IVW	Cysteine.tar.gz
IVW_IVWPruned_systolic_bp_0.01000_IVWPruned		std		No Rucker selection	4	mmHg	0.20 (-0.29; 0.70)	4.2×10⁻¹	Random effects	IVW	0.01	0.25184900427929696	0.42253727719318546	0.20 (-0.20; 0.60)	3.2×10⁻¹	0.20 (-0.29; 0.70)	4.2×10⁻¹	0.2019897287493687	0.20474052930220063	0.3238562026325442	0.25184900427929696	0.42253727719318546	4.539354368348666	0.2088067148653684						23.855710544591993	15.765927448358873	2.4×10¹	1.6×10¹	2.1×10⁻¹	IVWPruned	systolic_bp	-0.19929433485861214	0.6032737923573496	-0.2916252491803273	0.6956047066790647	No Error		False	0	1028980		14296	IVW	Cysteine.tar.gz
