	path	effect_type	effect_allele	other_allele	effect_size	standard_error	pvalue	chr_name	start_pos	end_pos	var_id	chrpos	chrpos_spec	start_anchor	pvalue_logged	sep	compression	group	drop	notes	phenotype	unit	no_cases	samplesize	url
dcm	/lustre/projects/DTAdb/gwas_data/data/hermes2_hf_subtypes_00000000/b38/data_files/dcm_hndc_eur_00000000.b38.gnorm.gz	beta														\t							14255	1213411	https://www.medrxiv.org/content/10.1101/2023.09.28.23295408v1
lvedvi	/lustre/projects/DTAdb/gwas_data/data/cardiac_mri_pirruccello_32382064/b38/data_files/lvedvi_32382064.b38.gnorm.gz	beta														\t							0	36041	https://pmc.ncbi.nlm.nih.gov/articles/PMC7206184/
lvef	/lustre/projects/DTAdb/gwas_data/data/cardiac_mri_pirruccello_32382064/b38/data_files/lvef_32382064.b38.gnorm.gz	beta														\t							0	36041	https://pmc.ncbi.nlm.nih.gov/articles/PMC7206184/
lvesvi	/lustre/projects/DTAdb/gwas_data/data/cardiac_mri_pirruccello_32382064/b38/data_files/lvesvi_32382064.b38.gnorm.gz	beta														\t							0	36041	https://pmc.ncbi.nlm.nih.gov/articles/PMC7206184/
svi	/lustre/projects/DTAdb/gwas_data/data/cardiac_mri_pirruccello_32382064/b38/data_files/svi_32382064.b38.gnorm.gz	beta														\t							0	36041	https://pmc.ncbi.nlm.nih.gov/articles/PMC7206184/
pr_interval	/lustre/projects/DTAdb/gwas_data/data/vansetten_ecg_traits_30679814/b38/data_files/pr_interval_30679814.b38.gnorm.gz	beta														\t							0	63461	https://pmc.ncbi.nlm.nih.gov/articles/PMC6777533/#MOESM1
qrs_duration	/lustre/projects/DTAdb/gwas_data/data/vansetten_ecg_traits_30679814/b38/data_files/qrs_duration_30679814.b38.gnorm.gz	beta														\t							0	59689	https://pmc.ncbi.nlm.nih.gov/articles/PMC6777533/#MOESM1
qt_interval	/lustre/projects/DTAdb/gwas_data/data/vansetten_ecg_traits_30679814/b38/data_files/qt_interval_30679814.b38.gnorm.gz	beta														\t							0	61439	https://pmc.ncbi.nlm.nih.gov/articles/PMC6777533/#MOESM1
rr_interval	/lustre/projects/DTAdb/gwas_data/data/vansetten_ecg_traits_30679814/b38/data_files/rr_interval_30679814.b38.gnorm.gz	beta														\t							0	28698	https://pmc.ncbi.nlm.nih.gov/articles/PMC6777533/#MOESM1
diastolic_bp	/lustre/projects/DTAdb/gwas_data/data/blood_pressure_traits_keaton_38689001/b38/data_files/diastolic_blood_pressure_european_38689001.b38.gnorm.gz	beta														\t							0	1028980	https://www.nature.com/articles/s41588-024-01714-w
systolic_bp	/lustre/projects/DTAdb/gwas_data/data/blood_pressure_traits_keaton_38689001/b38/data_files/systolic_blood_pressure_european_38689001.b38.gnorm.gz	beta														\t							0	1028980	https://www.nature.com/articles/s41588-024-01714-w
pulse_pressure	/lustre/projects/DTAdb/gwas_data/data/blood_pressure_traits_keaton_38689001/b38/data_files/pulse_pressure_european_38689001.b38.gnorm.gz	beta														\t							0	1028980	https://www.nature.com/articles/s41588-024-01714-w
taurine	/lustre/projects/DTAdb/gwas_data/data/lotta_metabolites_full_sumstats_33414548/b38/data_files/taurine_33414548.b38.gnorm.gz	beta														\t							0	23553	https://www.nature.com/articles/s41588-020-00751-5
diabetes	/lustre/projects/DTAdb/gwas_data/data/DIAGRAM_Mahajan_35551307/b38/data_files/gwas_of_type_2_diabetes_in_european_population_35551307.b38.gnorm.gz	beta														\t							180834	1159055	https://www.nature.com/articles/s41588-022-01058-3
bmi	/lustre/projects/DTAdb/gwas_data/data/bmi_pulit_2018_30239722/b38/data_files/bmi_30239722.b38.gnorm.gz	beta														\t							0	694649	https://academic.oup.com/hmg/article/28/1/166/5098227
cad	/lustre/projects/DTAdb/gwas_data/data/cad_aragam_2022_36474045/b38/data_files/cad_meta_eur_bbj_36474045.b38.gnorm.gz	beta														\t							181522	1165690	https://www.nature.com/articles/s41588-022-01233-6
hf	/lustre/projects/DTAdb/gwas_data/data/hermes2_hf_subtypes_00000000/b38/data_files/all_hf_eur_00000000.b38.gnorm.gz	beta														\t							153174	1946349	https://www.medrxiv.org/content/10.1101/2023.10.01.23296379v1.full-text
af	/lustre/projects/DTAdb/gwas_data/data/af_miyazawa_36653681/b38/data_files/atrial_fibrillation_cross_ancestry_36653681.b38.gnorm.gz	beta														\t							77690	1244730	https://www.nature.com/articles/s41588-022-01284-9
mi	/lustre/projects/DTAdb/gwas_data/data/MI_hartiala_33532862/b38/data_files/myocardial_infarction_uk_biobank_cardiogram_metaanalysis_33532862.b38.gnorm.gz	beta														\t							61505	638717	https://academic.oup.com/eurheartj/article/42/9/919/6126843?login=false
stroke	/lustre/projects/DTAdb/gwas_data/data/megastroke_malik_29531354/b38/data_files/any_stroke_eur_29531354.b38.gnorm.gz	beta														\t							67167	521612	https://www.nature.com/articles/s41588-018-0058-3
ckd	/lustre/projects/DTAdb/gwas_data/data/ckd_wuttke_2019_31152163/b38/data_files/ckd_european_american_31152163.b38.gnorm.gz	beta														\t							64164	625219	https://www.nature.com/articles/s41588-019-0407-x
hcm	/lustre/projects/DTAdb/gwas_data/data/hcm_icl_00000000/b38/data_files/hcm_00000000.b38.gnorm.gz	beta														\t							5900	68359	https://pubmed.ncbi.nlm.nih.gov/36778260/
