chromosome	start	end	strand	gene_id	gene_name	transcript_id	protein_id	uniprot_id	entrez_id
1	3069168	3438621	+	ENSG00000142611	PRDM16	ENST00000270722	ENSP00000270722	Q9HAZ2	63976
1	2403964	2413797	-	ENSG00000157911	PEX10	ENST00000447513	ENSP00000407922	O60683	5192
1	10472288	10630758	+	ENSG00000142655	PEX14	ENST00000356607	ENSP00000349016	O75381	5195
1	2425980	2505532	+	ENSG00000149527	PLCH2	ENST00000378486	ENSP00000367747	O75038	9651
1	9292894	9369532	+	ENSG00000171621	SPSB1	ENST00000328089	ENSP00000330221	Q96BD6	80176
1	9035106	9088478	-	ENSG00000142583	SLC2A5	ENST00000377424	ENSP00000366641	P22732	6518
1	9943428	9985501	+	ENSG00000173614	NMNAT1	ENST00000377205	ENSP00000366410	Q9HAN9	64802
1	11479155	11537551	+	ENSG00000204624	DISP3	ENST00000294484	ENSP00000294484	Q9P2K9	57540
1	2590639	2633016	-	ENSG00000142606	MMEL1	ENST00000378412	ENSP00000367668	Q495T6	79258
1	15152532	15220478	+	ENSG00000171729	TMEM51	ENST00000376008	ENSP00000365176	Q9NW97	55092
1	2391775	2405442	+	ENSG00000157916	RER1	ENST00000605895	ENSP00000475168	O15258	11079
1	2508537	2526597	-	ENSG00000157881	PANK4	ENST00000378466	ENSP00000367727	Q9NVE7	55229
1	12230030	12512047	+	ENSG00000048707	VPS13D	ENST00000620676	ENSP00000478104	Q5THJ4	55187
1	9997206	10016021	+	ENSG00000162444	RBP7	ENST00000294435	ENSP00000294435	Q96R05	116362
1	9100305	9129102	-	ENSG00000180758	GPR157	ENST00000377411	ENSP00000366628	Q5UAW9	80045
1	22428838	22531157	+	ENSG00000184677	ZBTB40	ENST00000375647	ENSP00000364798	Q9NUA8	9923
1	5862811	5992473	-	ENSG00000131697	NPHP4	ENST00000378156	ENSP00000367398	O75161	261734
1	2528745	2530263	-	ENSG00000197921	HES5	ENST00000378453	ENSP00000367714	Q5TA89	388585
1	28369582	28500364	+	ENSG00000204138	PHACTR4	ENST00000373839	ENSP00000362945	Q8IZ21	65979
1	27098809	27166981	-	ENSG00000090020	SLC9A1	ENST00000263980	ENSP00000263980	P19634	6548
1	25959767	25998117	-	ENSG00000158006	PAFAH2	ENST00000374282	ENSP00000363400	Q99487	5051
1	4654609	4792534	+	ENSG00000196581	AJAP1	ENST00000378191	ENSP00000367433	Q9UKB5	55966
1	28147166	28193936	-	ENSG00000169403	PTAFR	ENST00000373857	ENSP00000362965	P25105	5724
1	9539465	9585173	+	ENSG00000171612	SLC25A33	ENST00000302692	ENSP00000306328	Q9BSK2	84275
1	34781214	34786369	+	ENSG00000188910	GJB3	ENST00000373366	ENSP00000362464	O75712	2707
1	27970344	28088637	-	ENSG00000158161	EYA3	ENST00000373871	ENSP00000362978	Q99504	2140
1	13892792	15118043	+	ENSG00000189337	KAZN	ENST00000376030	ENSP00000365198	Q674X7	23254
1	12166991	12209228	+	ENSG00000028137	TNFRSF1B	ENST00000376259	ENSP00000365435	P20333	7133
1	10032832	10181239	+	ENSG00000130939	UBE4B	ENST00000343090	ENSP00000343001	O95155	10277
1	20028179	20091911	+	ENSG00000127472	PLA2G5	ENST00000375108	ENSP00000364249	P39877	5322
1	29236516	29326813	+	ENSG00000060656	PTPRU	ENST00000373779	ENSP00000362884	Q92729	10076
1	34755047	34758512	+	ENSG00000189280	GJB5	ENST00000338513	ENSP00000340811	O95377	2709
